year,month,date,nm_kecamatan,mean_ndvi,median_ndvi,min_ndvi,max_ndvi,std_ndvi
2001,1,2001-01,Ayah,0.4781231614859742,0.49195,0.0468,0.9062,0.13315811253535292
2001,1,2001-01,Buayan,0.5894518287243532,0.60195,0.15560000000000002,0.91785,0.13182777557066647
2001,1,2001-01,Puring,0.5745527397260274,0.5929,0.10830000000000001,0.93725,0.15383666188350759
2001,1,2001-01,Petanahan,0.7129336762688615,0.7402500000000001,0.271,0.9295,0.1254388856806614
2001,1,2001-01,Klirong,0.6831353623188406,0.7069500000000001,0.2048,0.8876000000000001,0.11516449169799316
2001,1,2001-01,Buluspesantren,0.6645871184371184,0.6831,0.15,0.8874500000000001,0.11661771315494497
2001,1,2001-01,Ambal,0.6747077603143418,0.71875,-0.020200000000000003,0.8833000000000001,0.1465580309731421
2001,1,2001-01,Mirit,0.5635282485875707,0.5726,-0.029900000000000003,0.8857,0.17107979551558894
2001,1,2001-01,Prembun,0.7013015189873417,0.71355,0.35200000000000004,0.91895,0.10846387439293136
2001,1,2001-01,Kutowinangun,0.7714161061946903,0.79435,0.41595000000000004,0.8885000000000001,0.07679400976170446
2001,1,2001-01,Alian,0.6253650480256137,0.638,0.2369,0.8596,0.12746299817918508
2001,1,2001-01,Kebumen,0.7054620078740157,0.7237,0.34505,0.8962,0.09224844497638764
2001,1,2001-01,Pejagoan,0.6521646048109966,0.6673,0.15480000000000002,0.8851,0.1257593134005367
2001,1,2001-01,Sruweng,0.7239769541778976,0.75295,0.35215,0.93655,0.11436557167135082
2001,1,2001-01,Adimulyo,0.6890680362116992,0.7147000000000001,0.31025,0.88065,0.10745760486775761
2001,1,2001-01,Kuwarasan,0.6638945392491469,0.6770750000000001,0.27105,0.8829,0.11321886806633052
2001,1,2001-01,Rowokele,0.6238518826135105,0.633,0.1867,0.89425,0.12205696225168002
2001,1,2001-01,Sempor,0.5713496904024769,0.59675,0.11945,0.86575,0.15519424945828256
2001,1,2001-01,Gombong,0.6736413897280967,0.6795,0.4053,0.8946000000000001,0.09152997854632663
2001,1,2001-01,Karanganyar,0.6728634951456312,0.6796,0.4136,0.8751500000000001,0.08782034556172091
2001,1,2001-01,Karanggayam,0.5421466703056769,0.546675,0.1706,0.8732000000000001,0.12739252735553622
2001,1,2001-01,Sadang,0.7011299793601651,0.70965,0.2661,0.9610500000000001,0.099247805805847
2001,1,2001-01,Bonorowo,0.6422887500000001,0.6644,0.22475,0.83645,0.12790457708274275
2001,1,2001-01,Padureso,0.6387661697247706,0.655675,0.1837,0.8442000000000001,0.10063394787276028
2001,1,2001-01,Poncowarno,0.6275742857142856,0.6278,0.2984,0.8748,0.12196824788698765
2001,1,2001-01,Karangsambung,0.5638187002652519,0.5760500000000001,0.12350000000000001,0.8948,0.12725271069877114
2001,2,2001-02,Ayah,0.7901935199386504,0.8186,-0.0337,0.9264,0.09886045328507077
2001,2,2001-02,Buayan,0.7813814171122994,0.7998500000000001,0.09340000000000001,0.9084500000000001,0.07783401104557554
2001,2,2001-02,Puring,0.7754677052423343,0.79905,0.0775,0.9249,0.09195542397323334
2001,2,2001-02,Petanahan,0.7432427236315087,0.7636000000000001,0.1071,0.86805,0.09492156007575242
2001,2,2001-02,Klirong,0.720504772079772,0.765075,-0.038200000000000005,0.87595,0.12707943343610298
2001,2,2001-02,Buluspesantren,0.7118629247572814,0.762175,0.2584,0.9008,0.13541932895250144
2001,2,2001-02,Ambal,0.7128860973187685,0.7654500000000001,0.12190000000000001,0.8699,0.1244282820692767
