latitude,longitude,elevation_m,gsmap_mm,chirps_mm,fused_mm,diff_mm
-7.48346193921519,109.63376747237643,354.0,2681.549072265625,3485.330322265625,3129.2001953125,-803.78125
-7.485709669728807,109.63376747237643,300.0,2613.389892578125,3380.4482421875,3044.73681640625,-767.058349609375
-7.487957400242422,109.63376747237643,240.0,2612.83056640625,3378.2744140625,3041.7646484375,-765.44384765625
-7.4902051307560376,109.63376747237643,203.0,2586.7412109375,3329.722900390625,3004.09814453125,-742.981689453125
-7.492452861269654,109.63376747237643,232.0,2613.658935546875,3380.413330078125,3044.378173828125,-766.75439453125
-7.494700591783269,109.63376747237643,272.0,2612.543701171875,3378.211181640625,3037.050048828125,-765.66748046875
-7.496948322296886,109.63376747237643,325.0,2612.57861328125,3378.785888671875,3042.572509765625,-766.207275390625
-7.499196052810501,109.63376747237643,333.0,2612.57861328125,3378.785888671875,3042.609619140625,-766.207275390625
-7.501443783324117,109.63376747237643,349.0,2680.9765625,3485.7490234375,3126.088134765625,-804.7724609375
-7.503691513837733,109.63376747237643,396.0,2680.98095703125,3485.84716796875,3123.346923828125,-804.8662109375
-7.505939244351349,109.63376747237643,417.0,2680.54931640625,3484.882080078125,3123.7587890625,-804.332763671875
-7.508186974864964,109.63376747237643,377.0,2681.13134765625,3485.0673828125,3128.82470703125,-803.93603515625
-7.5104347053785805,109.63376747237643,322.0,2611.837890625,3378.0322265625,3036.912109375,-766.1943359375
-7.512682435892196,109.63376747237643,303.0,2612.57861328125,3378.785888671875,3041.536865234375,-766.207275390625
-7.5149301664058115,109.63376747237643,272.0,2611.837890625,3378.0322265625,3037.593505859375,-766.1943359375
-7.517177896919428,109.63376747237643,269.0,2613.1025390625,3378.430419921875,3039.48876953125,-765.327880859375
-7.519425627433043,109.63376747237643,315.0,2612.261474609375,3379.234375,3037.577392578125,-766.972900390625
-7.52167335794666,109.63376747237643,249.0,2611.829833984375,3378.509033203125,3038.498046875,-766.67919921875
-7.523921088460275,109.63376747237643,233.0,2612.07666015625,3378.12060546875,3037.687255859375,-766.0439453125
-7.526168818973891,109.63376747237643,213.0,2586.186767578125,3327.485107421875,3005.3515625,-741.29833984375
-7.528416549487507,109.63376747237643,161.0,2586.681640625,3329.765869140625,2998.732421875,-743.084228515625
-7.5306642800011225,109.63376747237643,139.0,2576.515625,3318.93115234375,2983.608642578125,-742.41552734375
-7.532912010514738,109.63376747237643,131.0,2556.558837890625,3293.829345703125,2971.2470703125,-737.2705078125
-7.535159741028354,109.63376747237643,109.0,2554.745361328125,3287.142578125,2959.9892578125,-732.397216796875
-7.53740747154197,109.63376747237643,124.0,2558.4384765625,3296.953125,2970.331298828125,-738.5146484375
-7.539655202055586,109.63376747237643,130.0,2557.17333984375,3294.6533203125,2974.449462890625,-737.47998046875
-7.541902932569202,109.63376747237643,95.0,2553.76708984375,3285.523681640625,2967.647705078125,-731.756591796875
-7.544150663082817,109.63376747237643,106.0,2554.5859375,3287.626220703125,2962.114013671875,-733.040283203125
-7.546398393596434,109.63376747237643,106.0,2554.115234375,3285.486572265625,2965.5380859375,-731.371337890625
-7.548646124110049,109.63376747237643,132.0,2558.4384765625,3296.953125,2970.719482421875,-738.5146484375
-7.550893854623665,109.63376747237643,179.0,2588.416015625,3332.447509765625,3002.2255859375,-744.031494140625
-7.553141585137281,109.63376747237643,136.0,2554.07177734375,3292.154296875,2975.8427734375,-738.08251953125
-7.555389315650896,109.63376747237643,80.0,2546.947509765625,3273.34912109375,2955.37939453125,-726.401611328125
-7.557637046164513,109.63376747237643,85.0,2525.931884765625,3240.002197265625,2916.62841796875,-714.0703125
-7.559884776678128,109.63376747237643,102.0,2533.5830078125,3251.668212890625,2924.331787109375,-718.085205078125
-7.562132507191744,109.63376747237643,119.0,2531.565185546875,3255.37646484375,2931.530517578125,-723.811279296875
-7.56438023770536,109.63376747237643,152.0,2578.820068359375,3322.79248046875,2989.8408203125,-743.972412109375
-7.566627968218976,109.63376747237643,211.0,2585.880859375,3329.2763671875,2997.939453125,-743.3955078125
-7.568875698732591,109.63376747237643,260.0,2612.52001953125,3380.1181640625,3040.7490234375,-767.59814453125
-7.5711234292462075,109.63376747237643,313.0,2611.88427734375,3380.257568359375,3040.75146484375,-768.373291015625
-7.573371159759823,109.63376747237643,291.0,2612.34619140625,3380.11279296875,3040.39501953125,-767.7666015625
-7.575618890273439,109.63376747237643,227.0,2612.52880859375,3380.11279296875,3040.3671875,-767.583984375
-7.577866620787055,109.63376747237643,185.0,2585.225830078125,3330.141357421875,3003.457763671875,-744.91552734375
-7.58011435130067,109.63376747237643,160.0,2584.294189453125,3326.79443359375,2996.16650390625,-742.500244140625
-7.582362081814287,109.63376747237643,191.0,2585.374755859375,3329.476318359375,3003.246826171875,-744.1015625
-7.584609812327902,109.63376747237643,197.0,2584.294189453125,3326.849365234375,2998.760009765625,-742.55517578125
-7.586857542841518,109.63376747237643,203.0,2585.0390625,3326.581298828125,3002.525634765625,-741.542236328125
-7.589105273355134,109.63376747237643,256.0,2612.37255859375,3378.404052734375,3040.594482421875,-766.031494140625
-7.59135300386875,109.63376747237643,323.0,2612.140625,3378.91162109375,3039.141357421875,-766.77099609375
-7.593600734382366,109.63376747237643,319.0,2612.322509765625,3376.4521484375,3034.638427734375,-764.129638671875
-7.595848464895981,109.63376747237643,294.0,2612.164794921875,3375.271484375,3034.322265625,-763.106689453125
-7.598096195409597,109.63376747237643,271.0,2613.028076171875,3376.769287109375,3036.362548828125,-763.7412109375
