,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_Total,Monthly_Mean
2000,391.4488663207,277.1815853316,323.7022931215,303.5810944563,260.7749870114,146.04262649646,42.407036936984,67.2890162274,80.856677843,396.4761322951,508.722733785,202.77522451142,3001.258274336864,250.10485619473866
2001,398.2668407152,228.57396509018,378.9385327944,344.9476725232,155.683963389,194.53055598058,131.19143978338,19.5768558658,56.839085206672,683.65140717248,381.5647672727,180.5771144437,3154.342200237292,262.86185001977435
2002,270.1808170825,278.4705477239,208.1072384464,176.54493205102,87.7506404460616,30.19064498448,37.38479996714,20.9852549,6.204308846712,44.91398241822,374.7746539438,316.4650647946,1851.9728856048337,154.3310738004028
2003,314.91791690566,398.6015384922,336.8566589558,121.261571193872,183.8242671722,28.169453767416,9.52130977224,21.8323739703,58.5415819896,269.32300012886,371.1109943394,436.50354028969997,2550.464206977248,212.53868391477067
2004,322.6472871016,297.4680566997,378.50716118729997,188.8522595233,252.886847972516,89.22868182224,140.74630488644047,22.442243508,19.443628378364,51.86090533632,433.76305830260003,472.8390251533,2670.685459871681,222.55712165597342
2005,422.2436435275,265.822142374,466.6068223766,197.66544082358,264.9680779911312,237.9421866599,155.387282665284,98.858676762,211.1512275658,325.531559324,464.9951442763,486.5746909291,3597.7468952751956,299.81224127293297
2006,399.3580642001,319.3162746557,319.7076994208,211.8586943382,243.7432744824,59.0101888377928,20.45948282748,25.4238437956,7.24392514056,22.2615951249,129.66784399566,253.4952588519,2011.5461456710925,167.62884547259105
2007,151.5064697395,322.6514279452,299.2139706878,316.2584175537,208.720391616,122.0080974019,21.36101027954,33.7933607961,36.5307356182,223.8051426544,448.6049019549,546.9681761524,2731.4221023996397,227.6185085333033
2008,243.9553122658,424.0064377388,297.1756148994,163.086414096,47.320323099024,12.1327481859,14.17514169148,40.9896808006,38.1101296169,304.6615590811,482.89245590012,415.9955588638,2484.501376238924,207.04178135324366
2009,377.80643502286,331.1428934734,187.6386861099,279.3895919296,302.3905129519,167.82104488354,63.19079081588,20.39312288212,40.1676134593,294.3730377021,337.7985599636,315.1907077851,2717.3029969793,226.4419164149417
2010,359.997230584,275.7816928381,446.5555364752,271.9377585272,490.9937424812,293.56598247998,220.06806943548,259.2273458006,466.7117616805,458.00886926858,383.165187699,476.6015557397,4402.61473300954,366.88456108412834
2011,270.660832121,316.7996944966,303.337391642,361.467383833,285.83057472672,67.5481051191,44.31984885914,17.9613778892,17.0805998482,111.2161852173,446.9045387922,368.1048558992,2611.2313884436603,217.60261570363835
2012,420.453554136,279.5644021226,307.7661008172,302.10821122294,209.024590106116,41.5597801577368,12.570660229716,29.55208579448,22.754162013591998,156.2988892235,506.2761541434,479.1485144741,2767.077104441381,230.5897587034484
2013,411.0315342651,354.8443542234,226.2910262811,261.1423045478,393.2677148053,363.606613728268,311.0105108779,84.7081101266,27.27688952504,109.717426068,268.98611417742,352.723745608076,3164.6063442340037,263.71719535283364
2014,512.2834807936,298.8411557564,287.965366298,241.128176901464,208.66284050012,212.80306689036001,260.244605828,55.2629270727,7.865553526,73.19908257494,431.636769060348,461.8848748538,3051.7779000557316,254.3148250046443
2015,270.9338937823,346.38821941486,365.3594834064,266.3646212877,211.97256301492,41.9558655823,21.6570638864,36.5565428767,12.74638245552,13.2172714484,245.3512858404,351.9455005365,2184.4486935324,182.03739112769998
2016,283.2168126727,358.9348556817,172.97304014142,309.5775943736,318.6210976645,286.157020547512,344.9663419389,236.95367823196,565.9924143033,679.875696413,473.1432848384,443.6567888886,4474.068625695592,372.83905214129936
2017,364.5759917693,378.7968955717,253.7092844694,346.951144834,136.99316256,166.24281940770655,52.9881240936,15.3849322122,133.76739755148,496.2548154429,413.895027977,341.7081544089392,3101.2677502982256,258.4389791915188
2018,347.80216800110003,381.0143979912,259.0434651438,274.9304484785,65.744133857992,38.8005904445,11.140392788231999,22.274989722,29.41551653866,71.53020231668,386.0516978489,349.6505755828,2237.398578714364,186.44988155953033
2019,414.9873816365,389.9722342544,450.9425051686,332.063898811168,83.69972407908,8.52229393637504,18.6507723114,44.601850968,14.5917675292,44.0984235898,120.958638418812,356.794724451,2279.884215154335,189.99035126286125
2020,283.7938407545,435.4332497297,477.226160809,207.37169359588,342.8907587724,130.613076141424,85.37723657754,53.515739004400004,132.8951010836,485.78058502842,502.2706831125,523.4934190135712,3660.661543622935,305.05512863524456
2021,352.1557413733,461.520570794,316.0308215064,186.1051208206,120.6447725884,260.584109778056,82.25334197002,116.3746077437,214.38701391866,275.94207231888,549.134297709,411.6891950465,3346.821665567516,278.90180546395965
2022,310.593922866524,267.1243455216,487.3961425227,285.3082474515,264.7767333507,252.1583524741,170.90338063768,147.9451734945,321.53592773824,413.8849356369,596.2069761206,386.527043734,3904.361181549044,325.3634317957537
2023,279.4439858275,221.6447233564,256.9786899138,283.4859289904,150.611791354144,97.00688450290001,102.3809390566,25.214050327,7.0387675068,27.0635601458,285.39938130856,196.42989699392,1932.698599283824,161.05821660698533
2024,361.9091980218,260.8349566355,324.9193291919,328.7965086062,52.301618632148,150.92360647925273,49.3022246212,43.02360015432,85.9453953486,181.49023199654,463.4493147334,419.8722457546,2722.7682301754608,226.89735251462173
2025,364.8838483955,290.1518948512,318.9075665197,163.980284624,428.82696399982,178.92904336058,92.63082383052,310.3325500038,222.9666479652,417.05000573016,373.9355209157,263.9143162593,3426.5094664554804,285.5424555379567
2026,309.12721554872,258.4697471888,352.722592775168,279.5075818381,172.41390330008,19.494286594436,0.005624633,,,,,,1391.740951878304,198.82013598261486
